;SVR;HYBRID;ARIMA;MOEX;;0;0;0;0;;;;;;;
0;0,009489991;0,005189002;0,005189002;2457,79;0;0,009489991;0,005189002;0,005189002;2457,79;0,009489991;0,005189002;0,005189002;;;;
1;0,017196101;0,012895112;0,012895112;2476,73;1;0,017196101;0,012895112;0,012895112;2476,73;0,00770611;0,00770611;0,00770611;;;;
2;0,020010295;0,015709306;0,015709306;2483,7;2;0,020010295;0,015709306;0,015709306;2483,7;0,002814195;0,002814195;0,002814195;;;;
3;0,023867444;0,019566455;0,019566455;2493,28;3;0,023867444;0,019566455;0,019566455;2493,28;0,003857149;0,003857149;0,003857149;;;;
4;0,028259249;0,02395826;0,02395826;2504,23;4;0,028259249;0,02395826;0,02395826;2504,23;0,004391805;0,004391805;0,004391805;;;;
5;0,02968883;0,025387841;0,025387841;2507,81;5;0,02968883;0,025387841;0,025387841;2507,81;0,001429581;0,001429581;0,001429581;;;;
6;0,035714008;0,031413019;0,031413019;2492,7;6;0,035714008;0,031413019;0,031413019;2492,7;0,006025177;0,006025177;0,006025177;;;;
7;0,037675736;0,033374747;0,033374747;2497,59;7;0,037675736;0,033374747;0,033374747;2497,59;0,001961728;0,001961728;0,001961728;;;;
8;0,043697541;0,039396552;0,039396552;2512,63;8;0,043697541;0,039396552;0,039396552;2512,63;0,006021805;0,006021805;0,006021805;;;;
9;0,053706973;0,049405984;0,049405984;2487,48;9;0,053706973;0,049405984;0,049405984;2487,48;0,010009432;0,010009432;0,010009432;;;;
10;0,055684879;0,05138389;0,05138389;2492,4;10;0,055684879;0,05138389;0,05138389;2492,4;0,001977905;0,001977905;0,001977905;;;;
11;0,057570611;0,053269622;0,053269622;2497,1;11;0,057570611;0,053269622;0,053269622;2497,1;0,001885733;0,001885733;0,001885733;;;;
12;0,06724183;0,062940841;0,062940841;2521,25;12;0,06724183;0,062940841;0,062940841;2521,25;0,009671219;0,009671219;0,009671219;;;;
13;0,069827849;0,06552686;0,06552686;2527,77;13;0,069827849;0,06552686;0,06552686;2527,77;0,002586019;0,002586019;0,002586019;;;;
14;0,071627854;0,067326865;0,067326865;2532,32;14;0,071627854;0,067326865;0,067326865;2532,32;0,001800006;0,001800006;0,001800006;;;;
15;0,070372089;0,0660711;0,0660711;2535,5;15;0,070372089;0,0660711;0,0660711;2535,5;-0,001255765;-0,001255765;-0,001255765;;;;
16;0,072537342;0,068236353;0,068236353;2540,99;16;0,072537342;0,068236353;0,068236353;2540,99;0,002165253;0,002165253;0,002165253;;;;
17;0,080046226;0,075745238;0,075745238;2560,07;17;0,080046226;0,075745238;0,075745238;2560,07;0,007508884;0,007508884;0,007508884;;;;
18;0,084034399;0,07973341;0,07973341;2570,28;18;0,084034399;0,07973341;0,07973341;2570,28;0,003988172;0,003988172;0,003988172;;;;
19;0,087263619;0,08296263;0,08296263;2578,58;19;0,087263619;0,08296263;0,08296263;2578,58;0,00322922;0,00322922;0,00322922;;;;
20;0,097784914;0,093483925;0,093483925;2551,45;20;0,097784914;0,093483925;0,093483925;2551,45;0,010521295;0,010521295;0,010521295;;;;
21;0,101026208;0,096725219;0,096725219;2559,72;21;0,101026208;0,096725219;0,096725219;2559,72;0,003241294;0,003241294;0,003241294;;;;
22;0,106729957;0,102428968;0,102428968;2545,12;22;0,106729957;0,102428968;0,102428968;2545,12;0,005703749;0,005703749;0,005703749;;;;
23;0,112513574;0,108212585;0,108212585;2559,84;23;0,112513574;0,108212585;0,108212585;2559,84;0,005783617;0,005783617;0,005783617;;;;
24;0,115802842;0,111501853;0,111501853;2568,26;24;0,115802842;0,111501853;0,111501853;2568,26;0,003289268;0,003289268;0,003289268;;;;
25;0,118707532;0,114406543;0,114406543;2560,8;25;0,118707532;0,114406543;0,114406543;2560,8;0,00290469;0,00290469;0,00290469;;;;
26;0,119918091;0,115617102;0,115617102;2563,9;26;0,119918091;0,115617102;0,115617102;2563,9;0,001210559;0,001210559;0,001210559;;;;
27;0,128046334;0,123745345;0,123745345;2584,74;27;0,128046334;0,123745345;0,123745345;2584,74;0,008128242;0,008128242;0,008128242;;;;
28;0,129106401;0,124805413;0,124805413;2587,48;28;0,129106401;0,124805413;0,124805413;2587,48;0,001060068;0,001060068;0,001060068;;;;
29;0,132364398;0,128063409;0,128063409;2579,05;29;0,132364398;0,128063409;0,128063409;2579,05;0,003257996;0,003257996;0,003257996;;;;
30;0,139386363;0,135085374;0,135085374;2560,94;30;0,139386363;0,135085374;0,135085374;2560,94;0,007021965;0,007021965;0,007021965;;;;
31;0,138300824;0,136170913;0,136170913;2563,72;31;0,138300824;0,136170913;0,136170913;2563,72;-0,001085539;0,001085539;0,001085539;;;;
32;0,14068408;0,138554169;0,138554169;2569,83;32;0,14068408;0,138554169;0,138554169;2569,83;0,002383256;0,002383256;0,002383256;;;;
33;0,144773845;0,142643933;0,142643933;2559,32;33;0,144773845;0,142643933;0,142643933;2559,32;0,004089765;0,004089765;0,004089765;;;;
34;0,150986432;0,148856521;0,148856521;2575,22;34;0,150986432;0,148856521;0,148856521;2575,22;0,006212588;0,006212588;0,006212588;;;;
35;0,153211485;0,151081574;0,151081574;2580,95;35;0,153211485;0,151081574;0,151081574;2580,95;0,002225053;0,002225053;0,002225053;;;;
36;0,15367643;0,150616629;0,150616629;2579,75;36;0,15367643;0,150616629;0,150616629;2579,75;0,000464945;-0,000464945;-0,000464945;;;;
37;0,159355275;0,156295473;0,156295473;2565,1;37;0,159355275;0,156295473;0,156295473;2565,1;0,005678845;0,005678845;0,005678845;;;;
38;0,16741344;0,164353639;0,164353639;2544,43;38;0,16741344;0,164353639;0,164353639;2544,43;0,008058165;0,008058165;0,008058165;;;;
39;0,179030973;0,175971172;0,175971172;2514,87;39;0,179030973;0,175971172;0,175971172;2514,87;0,011617533;0,011617533;0,011617533;;;;
40;0,181416783;0,178356981;0,178356981;2508,87;40;0,181416783;0,178356981;0,178356981;2508,87;0,002385809;0,002385809;0,002385809;;;;
41;0,20272518;0,199665379;0,199665379;2562,33;41;0,20272518;0,199665379;0,199665379;2562,33;0,021308398;0,021308398;0,021308398;;;;
42;0,205784896;0,202725094;0,202725094;2554,49;42;0,205784896;0,202725094;0,202725094;2554,49;0,003059715;0,003059715;0,003059715;;;;
43;0,216205762;0,213145961;0,213145961;2581,11;43;0,216205762;0,213145961;0,213145961;2581,11;0,010420867;0,010420867;0,010420867;;;;
44;0,217612134;0,214552333;0,214552333;2577,48;44;0,217612134;0,214552333;0,214552333;2577,48;0,001406372;0,001406372;0,001406372;;;;
45;0,219874033;0,216814232;0,216814232;2571,65;45;0,219874033;0,216814232;0,216814232;2571,65;0,002261899;0,002261899;0,002261899;;;;
46;0,237325864;0,234266062;0,234266062;2616,53;46;0,237325864;0,234266062;0,234266062;2616,53;0,017451831;0,017451831;0,017451831;;;;
47;0,24580274;0,242742938;0,242742938;2638,71;47;0,24580274;0,242742938;0,242742938;2638,71;0,008476876;0,008476876;0,008476876;;;;
48;0,253420098;0,250360297;0,250360297;2618,61;48;0,253420098;0,250360297;0,250360297;2618,61;0,007617358;0,007617358;0,007617358;;;;
49;0,253660684;0,250600882;0,250600882;2619,24;49;0,253660684;0,250600882;0,250600882;2619,24;0,000240586;0,000240586;0,000240586;;;;
50;0,248426341;0,255835225;0,255835225;2632,95;50;0,248426341;0,255835225;0,255835225;2632,95;-0,005234343;0,005234343;0,005234343;;;;
51;0,257226356;0,26463524;0,26463524;2609,78;51;0,257226356;0,26463524;0,26463524;2609,78;0,008800015;0,008800015;0,008800015;;;;
52;0,269246526;0,276655411;0,276655411;2641,15;52;0,269246526;0,276655411;0,276655411;2641,15;0,01202017;0,01202017;0,01202017;;;;
53;0,27620183;0,283610714;0,283610714;2659,52;53;0,27620183;0,283610714;0,283610714;2659,52;0,006955304;0,006955304;0,006955304;;;;
54;0,274017225;0,285795319;0,285795319;2665,33;54;0,274017225;0,285795319;0,285795319;2665,33;-0,002184605;0,002184605;0,002184605;;;;
55;0,298254374;0,310032468;0,310032468;2729,93;55;0,298254374;0,310032468;0,310032468;2729,93;0,024237149;0,024237149;0,024237149;;;;
56;0,306913937;0,318692031;0,318692031;2706,29;56;0,306913937;0,318692031;0,318692031;2706,29;0,008659563;0,008659563;0,008659563;;;;
57;0,305269619;0,317047713;0,320336348;2701,84;57;0,305269619;0,317047713;0,320336348;2701,84;-0,001644317;-0,001644317;0,001644317;;;;
58;0,315044439;0,326822533;0,330111168;2728,25;58;0,315044439;0,326822533;0,330111168;2728,25;0,00977482;0,00977482;0,00977482;;;;
59;0,315542928;0,327321021;0,330609656;2729,61;59;0,315542928;0,327321021;0,330609656;2729,61;0,000498488;0,000498488;0,000498488;;;;
60;0,320298186;0,332076279;0,335364914;2742,59;60;0,320298186;0,332076279;0,335364914;2742,59;0,004755258;0,004755258;0,004755258;;;;
